	A4	A5	A6	A52	A53	A54
A4	0.0	0.5451127819548872	0.5501760563380281	0.6810990840965861	0.5989847715736041	0.8184845961698585
A5	0.5451127819548872	0.0	0.5557570262919311	0.6707211120764552	0.6008733624454149	0.8015803336259877
A6	0.5501760563380281	0.5557570262919311	0.0	0.6745321399511798	0.6114285714285714	0.8068459657701712
A52	0.6810990840965861	0.6707211120764552	0.6745321399511798	0.0	0.6595744680851063	0.7932816537467701
A53	0.5989847715736041	0.6008733624454149	0.6114285714285714	0.6595744680851063	0.0	0.7995110024449877
A54	0.8184845961698585	0.8015803336259877	0.8068459657701712	0.7932816537467701	0.7995110024449877	0.0
