,0
ASV352,77.0
ASV351,77.0
ASV350,77.0
ASV349,77.0
ASV354,76.0
ASV355,76.0
ASV356,76.0
ASV353,76.0
ASV357,75.0
ASV358,75.0
ASV359,75.0
ASV360,75.0
ASV361,74.0
ASV362,74.0
ASV363,73.0
ASV364,73.0
ASV365,73.0
ASV368,72.0
ASV369,72.0
ASV367,72.0
ASV366,72.0
ASV370,71.0
ASV371,70.0
ASV372,70.0
ASV373,70.0
ASV374,69.0
ASV375,69.0
ASV376,69.0
ASV377,69.0
ASV378,68.0
ASV379,68.0
ASV380,68.0
ASV381,68.0
ASV382,67.0
ASV383,67.0
ASV384,67.0
ASV387,66.0
ASV385,66.0
ASV386,66.0
ASV388,65.0
ASV389,65.0
ASV390,65.0
ASV391,65.0
ASV392,65.0
ASV393,64.0
ASV394,64.0
ASV395,63.0
ASV396,63.0
ASV397,62.0
ASV398,62.0
ASV399,62.0
ASV400,62.0
ASV402,61.0
ASV401,61.0
ASV407,60.0
ASV410,60.0
ASV409,60.0
ASV408,60.0
ASV403,60.0
ASV406,60.0
ASV404,60.0
ASV405,60.0
ASV411,59.0
ASV413,59.0
ASV414,59.0
ASV415,59.0
ASV412,59.0
ASV416,58.0
ASV417,58.0
ASV418,57.0
ASV422,56.0
ASV423,56.0
ASV424,56.0
ASV421,56.0
ASV420,56.0
ASV419,56.0
ASV425,54.0
ASV426,54.0
ASV427,54.0
ASV428,54.0
ASV429,54.0
ASV430,53.0
ASV431,53.0
ASV432,53.0
ASV433,53.0
ASV434,53.0
ASV438,52.0
ASV439,52.0
ASV441,52.0
ASV437,52.0
ASV435,52.0
ASV436,52.0
ASV440,52.0
ASV442,51.0
ASV444,51.0
ASV443,51.0
ASV445,50.0
ASV446,50.0
ASV447,50.0
ASV448,50.0
ASV449,50.0
ASV450,50.0
ASV454,49.0
ASV456,49.0
ASV455,49.0
ASV453,49.0
ASV452,49.0
ASV451,49.0
ASV460,48.0
ASV462,48.0
ASV461,48.0
ASV457,48.0
ASV459,48.0
ASV458,48.0
ASV464,47.0
ASV465,47.0
ASV466,47.0
ASV467,47.0
ASV463,47.0
ASV473,46.0
ASV476,46.0
ASV475,46.0
ASV474,46.0
ASV471,46.0
ASV472,46.0
ASV469,46.0
ASV468,46.0
ASV470,46.0
ASV482,45.0
ASV485,45.0
ASV484,45.0
ASV483,45.0
ASV481,45.0
ASV480,45.0
ASV479,45.0
ASV478,45.0
ASV477,45.0
ASV491,44.0
ASV494,44.0
ASV493,44.0
ASV492,44.0
ASV489,44.0
ASV490,44.0
ASV488,44.0
ASV487,44.0
ASV486,44.0
ASV495,43.0
ASV496,43.0
ASV497,43.0
ASV498,43.0
ASV499,43.0
ASV500,43.0
ASV501,43.0
ASV502,43.0
ASV506,42.0
ASV508,42.0
ASV507,42.0
ASV503,42.0
ASV505,42.0
ASV504,42.0
ASV509,41.0
ASV510,41.0
ASV511,41.0
ASV512,41.0
ASV513,41.0
ASV514,41.0
ASV515,41.0
ASV516,41.0
ASV517,41.0
ASV518,41.0
ASV522,40.0
ASV523,40.0
ASV520,40.0
ASV521,40.0
ASV519,40.0
ASV524,39.0
ASV525,39.0
ASV526,39.0
ASV527,39.0
ASV528,39.0
ASV529,39.0
ASV530,39.0
ASV531,39.0
ASV540,38.0
ASV539,38.0
ASV537,38.0
ASV541,38.0
ASV538,38.0
ASV534,38.0
ASV536,38.0
ASV532,38.0
ASV533,38.0
ASV535,38.0
ASV542,37.0
ASV543,37.0
ASV544,37.0
ASV545,37.0
ASV546,37.0
ASV552,36.0
ASV556,36.0
ASV555,36.0
ASV553,36.0
ASV554,36.0
ASV551,36.0
ASV547,36.0
ASV549,36.0
ASV548,36.0
ASV550,36.0
ASV557,35.0
ASV558,35.0
ASV559,35.0
ASV564,34.0
ASV566,34.0
ASV565,34.0
ASV561,34.0
ASV563,34.0
ASV562,34.0
ASV560,34.0
ASV572,33.0
ASV575,33.0
ASV574,33.0
ASV573,33.0
ASV567,33.0
ASV571,33.0
ASV570,33.0
ASV569,33.0
ASV568,33.0
ASV592,32.0
