	A4	A5	A6	A52	A53	A54
A4	0	0.3419038330149979	0.3431915290323164	0.4745783959083187	0.4279125990119541	0.6190810850000492
A5	0.3419038330149979	0	0.3686673870466409	0.4929850165277	0.4272177403092658	0.6123373233788052
A6	0.3431915290323164	0.3686673870466409	0	0.4686718449481362	0.4339928434730713	0.6036877088934948
A52	0.4745783959083187	0.4929850165277	0.4686718449481362	0	0.5118199699750037	0.6220210072375308
A53	0.4279125990119541	0.4272177403092658	0.4339928434730713	0.5118199699750037	0	0.5823923533321792
A54	0.6190810850000492	0.6123373233788052	0.6036877088934948	0.6220210072375308	0.5823923533321792	0
