	A4	A5	A6	A52	A53	A54
A4	0	0.08747877880371734	0.07036827321443639	0.2724037037153105	0.1252073203577538	0.3920523588381317
A5	0.08747877880371734	0	0.128404959688465	0.322338623887543	0.1018514612583246	0.4270166088760811
A6	0.07036827321443639	0.128404959688465	0	0.2548369642061716	0.1661530052863865	0.3728918981708489
A52	0.2724037037153105	0.322338623887543	0.2548369642061716	0	0.3202877154951113	0.3141547815173854
A53	0.1252073203577538	0.1018514612583246	0.1661530052863865	0.3202877154951113	0	0.4834913369540756
A54	0.3920523588381317	0.4270166088760811	0.3728918981708489	0.3141547815173854	0.4834913369540756	0
