function	Bottom	Middle	Top
EC:2.7.7.7	0.012464723998250271	0.012656167860411923	0.011841691884082331
EC:3.6.4.12	0.011199834681052602	0.011177482918483394	0.010422657704244194
EC:1.6.5.3	0.01065860537978167	0.010846744021359407	0.008727849553941878
EC:2.7.13.3	0.00801747972998877	0.008166235109276679	0.00892665919868062
EC:5.2.1.8	0.006096317227819929	0.006197761564245824	0.00624704880400331
EC:2.7.7.6	0.005800557458993745	0.006219233864057103	0.005506269069392965
EC:2.3.1.9	0.005067264585391924	0.004234746956906411	0.004828988823025775
EC:1.1.1.100	0.004878856129919505	0.00460743501004684	0.005012302509851935
EC:2.7.11.1	0.0048084880681815885	0.004769859880506395	0.0045028821711709435
EC:6.3.5.7	0.004468162807805231	0.004279000605336211	0.00407090581914122
EC:4.2.1.17	0.0041728052741692254	0.0032732549304083157	0.003712640795869614
EC:6.3.5.6	0.004118433878532652	0.003805103968791998	0.0038163889691752257
EC:4.2.99.18	0.003798467333016161	0.003473360799293762	0.0033922658795497254
EC:5.99.1.3	0.003752646100156714	0.0036812335930047247	0.0033935144039159647
EC:2.1.1.72	0.003726419441895225	0.0037141785091294277	0.0032640443725919324
EC:5.4.2.12	0.0036608218824062165	0.0032846561808460586	0.003174375898643876
EC:3.6.3.34	0.0029788825745203002	0.0033388024639601993	0.0036376242139309197
EC:6.2.1.3	0.003604172989904395	0.002889970516190897	0.003310926732292195
EC:1.9.3.1	0.0032245077421358044	0.0030091123509164226	0.0034746473983352307
EC:3.6.1.27	0.0034349854780206784	0.002960129793559537	0.0029858112815939037
EC:2.2.1.6	0.0034226981168224207	0.003384161179867009	0.0033782901557711824
EC:1.11.1.15	0.0034207725757485806	0.0033968025043610087	0.0032216208650017687
EC:6.4.1.2	0.002829598420255978	0.002958613084768686	0.0033841675552069143
EC:6.3.1.2	0.0032881836691968157	0.003211770469520741	0.0027535764309072905
EC:5.1.3.2	0.003209637654365262	0.0031020733934298697	0.0025221021059967357
EC:1.2.7.3	0.0030642609022818734	0.0030754083064995887	0.001709288221032523
EC:3.6.3.14	0.003028284482301518	0.0030745653430762953	0.002882031392467021
EC:3.4.16.4	0.00247597328174283	0.0025369338294359165	0.0030315808083282115
EC:3.1.21.3	0.0028901938013971423	0.0030221119762501732	0.0022793599999032105
EC:3.6.4.13	0.0026905602480666066	0.002725407428451008	0.002967113333601819
EC:4.2.1.20	0.0029423258982982804	0.0029278976165282786	0.0028095404688933956
EC:1.2.4.1	0.002126815014763033	0.0020911421047570774	0.0029259082693927707
EC:1.1.1.1	0.0028823164587018202	0.0026630674967186305	0.0028858884613910344
EC:2.3.1.128	0.002345911314727253	0.0023211964426520493	0.0028715027207065697
EC:3.6.1.55	0.0026085762238864793	0.002203055385580055	0.002843036953697319
