function	Bottom	Middle	Top
COG0438	0.004740610422277043	0.004887832557739346	0.00400867193450383
COG1028	0.00431113902482016	0.004209687591045849	0.004336098277651783
COG0642	0.004133868127886923	0.004288697780850685	0.003998976096300088
COG0745	0.004265893934104517	0.004122269728552915	0.004076279672025978
COG2814	0.003949580046845137	0.0037435056151827115	0.0041368232073852925
COG1309	0.003976713282819664	0.003924860039802061	0.003947284819769741
COG1131	0.0037202571300258783	0.0036911300228965847	0.0032580690799666138
COG0596	0.003478332988511063	0.003205545993537084	0.003603625572264332
COG1960	0.003090543366847435	0.00277968720287468	0.0035489463828813892
COG0583	0.002794414177011043	0.002915068406939459	0.003477766104231096
COG1012	0.0030652293125865235	0.0028137402986717483	0.003339696775089115
COG1595	0.0032468956098490155	0.0031510981846437735	0.0030094076810331933
COG0451	0.0032334634909927033	0.003166682948106692	0.002579036143929928
COG1132	0.003057780971839539	0.002915450848470564	0.002894535841096392
COG1846	0.002644726509269862	0.0027889478177624666	0.0028901032749744696
COG2207	0.0025576903459304974	0.002823160999959859	0.00247893530066132
COG0318	0.0026754788253752367	0.0023824484063794094	0.0027850157695436706
COG1136	0.002703277670112951	0.002721278978806271	0.0023930901130654195
COG0463	0.0027085640480785673	0.0025759105364343373	0.0018549776642652884
COG1024	0.0025312231654364492	0.002211275306433547	0.0027022035180523903
COG2197	0.0025924279758922377	0.002484094209090335	0.002652721885675335
COG4974	0.0026164221294648045	0.0024076294472647063	0.0022789049451220826
COG0491	0.0026092797156090876	0.0025947434971055564	0.0026087822921022205
COG1670	0.0021731859576757783	0.0021951496414612626	0.0024812920117845494
COG0183	0.002403218187099834	0.002051568017348574	0.0024691631655694144
COG0640	0.0023170297442725125	0.0023929242683438643	0.0021802809049599513
COG0436	0.0022327697055363896	0.00234845742441546	0.002082900531034903
COG2141	0.002259261678840073	0.0018707188678505154	0.0022390228362374753
COG0300	0.0022263270743166003	0.0019215250402933172	0.0018362353202081199
COG0589	0.0020252114507445457	0.002162132499070446	0.0019341037380971125
COG0673	0.002045620549153242	0.00212927606266931	0.0019244928913915796
COG0456	0.001953433437640234	0.0020441400703325096	0.002126389622487453
COG1051	0.0019121531862384643	0.0017324747737093211	0.0020903935998933007
COG0488	0.0019550980551712584	0.0018652839849011753	0.00207447929570399
COG1609	0.0017198565809671176	0.0018179878636190177	0.001968889187892424
