"peak_number","name.x","formula","calc_mw","m_z","day","height","location","mean","std","n","se","name.y","class"
6528,"2 4 6 2 4 diamino 6 oxo 1 3 diazinan 5 yl 1 1 1 trifluoro 2 2 dihydroxyhexan 3 yl phenyl formamido pentanedioic acid","C22 H30 F3 N5 O8",549.207,550.21431,"18","bottom","half",128054.630504945,1713.78393280859,2,1211.8282403775,NA,"unknown"
6528,"2 4 6 2 4 diamino 6 oxo 1 3 diazinan 5 yl 1 1 1 trifluoro 2 2 dihydroxyhexan 3 yl phenyl formamido pentanedioic acid","C22 H30 F3 N5 O8",549.207,550.21431,"22","bottom","half",240296.121337468,22065.9249151574,2,15602.965140661,NA,"unknown"
6528,"2 4 6 2 4 diamino 6 oxo 1 3 diazinan 5 yl 1 1 1 trifluoro 2 2 dihydroxyhexan 3 yl phenyl formamido pentanedioic acid","C22 H30 F3 N5 O8",549.207,550.21431,"29","bottom","half",367023.1404861,22419.4659070625,2,15852.9563734645,NA,"unknown"
6528,"2 4 6 2 4 diamino 6 oxo 1 3 diazinan 5 yl 1 1 1 trifluoro 2 2 dihydroxyhexan 3 yl phenyl formamido pentanedioic acid","C22 H30 F3 N5 O8",549.207,550.21431,"29","middle","half",830997.050126764,10914.958834628,2,7718.04140833748,NA,"unknown"
6528,"2 4 6 2 4 diamino 6 oxo 1 3 diazinan 5 yl 1 1 1 trifluoro 2 2 dihydroxyhexan 3 yl phenyl formamido pentanedioic acid","C22 H30 F3 N5 O8",549.207,550.21431,"29","top","half",916094.208591013,41119.4626230975,2,29075.850859539,NA,"unknown"
6528,"2 4 6 2 4 diamino 6 oxo 1 3 diazinan 5 yl 1 1 1 trifluoro 2 2 dihydroxyhexan 3 yl phenyl formamido pentanedioic acid","C22 H30 F3 N5 O8",549.207,550.21431,"29","top","quarter",957762.800662761,49890.2920405342,2,35277.763817239,NA,"unknown"
9239,"3 4 methoxy 2 methylphenyl 2 5 dimethyl n 1 3 methyl 1 2 4 oxadiazol 5 yl propyl pyrazolo 1 5 a pyrimidin 7 amine","C22 H26 N6 O2",406.21206,407.21934,"01","middle","half",2266001.76594308,118725.05965815,2,83951.2947810551,NA,"unknown"
9239,"3 4 methoxy 2 methylphenyl 2 5 dimethyl n 1 3 methyl 1 2 4 oxadiazol 5 yl propyl pyrazolo 1 5 a pyrimidin 7 amine","C22 H26 N6 O2",406.21206,407.21934,"04","bottom","half",2277812.29858737,207506.995279805,2,146729.603505995,NA,"unknown"
9239,"3 4 methoxy 2 methylphenyl 2 5 dimethyl n 1 3 methyl 1 2 4 oxadiazol 5 yl propyl pyrazolo 1 5 a pyrimidin 7 amine","C22 H26 N6 O2",406.21206,407.21934,"15","bottom","half",3286547.25818171,17889.8016314352,2,12650.00004767,NA,"unknown"
9239,"3 4 methoxy 2 methylphenyl 2 5 dimethyl n 1 3 methyl 1 2 4 oxadiazol 5 yl propyl pyrazolo 1 5 a pyrimidin 7 amine","C22 H26 N6 O2",406.21206,407.21934,"29","bottom","half",2280837.21091615,192001.749840386,2,135765.73931182,NA,"unknown"
