"name.x","day","height","mean","std","n","se","name.y","class"
"8 hydroxyquinoline","01","top",14486175.0042206,24227663.9306743,16,6056915.98266857,NA,"unknown"
"8 hydroxyquinoline","04","bottom",9604420.57902455,15201181.8467317,8,5374429.38293692,NA,"unknown"
"8 hydroxyquinoline","08","bottom",9259493.12386525,13479659.9728224,6,5503048.13993889,NA,"unknown"
"8 hydroxyquinoline","11","bottom",12245910.4996746,18207643.2267678,6,7433239.22070389,NA,"unknown"
"8 hydroxyquinoline","15","bottom",13717496.0051955,15024287.8380706,4,7512143.91903531,NA,"unknown"
"8 hydroxyquinoline","18","bottom",11846599.3272915,17431781.253213,6,7116494.89636423,NA,"unknown"
"8 hydroxyquinoline","22","bottom",7766676.42187101,8643182.50113673,4,4321591.25056836,NA,"unknown"
"8 hydroxyquinoline","25","bottom",22561999.5435986,33966429.9448033,6,13866736.9581265,NA,"unknown"
"8 hydroxyquinoline","29","bottom",12705276.7093957,18263820.8821155,12,5272310.95136024,NA,"unknown"
"8 hydroxyquinoline","29","middle",9314254.73567097,14983284.47652,16,3745821.11913,NA,"unknown"
"8 hydroxyquinoline","29","top",8598980.80459226,16924566.1185548,22,3608329.62048378,NA,"unknown"
"acetomycin","04","bottom",1567030.9755187,44742.0997993279,2,31637.44217263,"acetomycin","other"
"acetomycin","29","top",1204405.29736067,1727.48825182425,2,1221.51865728502,"acetomycin","other"
"acetyl sulfamethoxypyrazine","01","bottom",225947.789708876,61431.4578010261,4,30715.7289005131,"sulf","sulfonamide_trimethoprim"
"acetyl sulfamethoxypyrazine","01","middle",251941.832048975,31536.9970282114,4,15768.4985141057,"sulf","sulfonamide_trimethoprim"
"acetyl sulfamethoxypyrazine","01","top",375189.845145237,66330.1828012928,4,33165.0914006464,"sulf","sulfonamide_trimethoprim"
"acetyl sulfamethoxypyrazine","04","bottom",218439.115651328,11784.9374854879,2,8333.209211848,"sulf","sulfonamide_trimethoprim"
"acetyl sulfamethoxypyrazine","08","bottom",297608.050354443,22846.1660045686,2,16154.678905944,"sulf","sulfonamide_trimethoprim"
"acetyl sulfamethoxypyrazine","15","bottom",161938.379383111,9151.53209037293,2,6471.110399349,"sulf","sulfonamide_trimethoprim"
"acetyl sulfamethoxypyrazine","22","bottom",138284.422800061,11463.0837835808,2,8105.6242766795,"sulf","sulfonamide_trimethoprim"
"acetyl sulfamethoxypyrazine","29","bottom",436396.948790696,46997.9402142258,2,33232.562227279,"sulf","sulfonamide_trimethoprim"
"acetyl sulfamethoxypyrazine","29","middle",462708.64470348,230157.200189866,4,115078.600094933,"sulf","sulfonamide_trimethoprim"
"acetyl sulfamethoxypyrazine","29","top",457670.939357184,347344.251803863,4,173672.125901931,"sulf","sulfonamide_trimethoprim"
