"","peak_number","name","formula","calc_mw","m_z","std","n","se","01-bottom-half","01-middle-half","01-bottom-quarter","01-top-quarter","29-middle-half","01-middle-quarter","01-top-half","04-bottom-half","08-bottom-half","15-bottom-half","18-bottom-half","25-bottom-half","29-bottom-quarter","29-top-half","11-bottom-half","22-bottom-half","29-top-quarter","29-bottom-half","29-middle-quarter"
"19",1512,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2",262.07434,263.08162,20867.7616036717,2,14755.7357381405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559479.165784949,NA,NA,NA,NA,NA
"20",1514,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2",262.07431,263.08159,1604.15229975322,2,1134.3069692115,NA,199811.425118902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1514,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2",262.07431,263.08159,23436.3057919798,2,16571.9707514705,NA,NA,NA,NA,NA,NA,NA,NA,179074.828056047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",3859,"1-Deoxymannojirimycin","C6 H13 N O4",163.08448,164.09175,35219.1771599719,2,24903.7189976265,NA,NA,NA,NA,NA,NA,181922.933655581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",3859,"1-Deoxymannojirimycin","C6 H13 N O4",163.08448,164.09175,27617.0548431639,2,19528.206756002,NA,NA,NA,NA,NA,NA,NA,156837.747509493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",3859,"1-Deoxymannojirimycin","C6 H13 N O4",163.08448,164.09175,63166.2433770593,2,44665.2790339985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254278.92481409,NA,NA,NA,NA
"25",3859,"1-Deoxymannojirimycin","C6 H13 N O4",163.08448,164.09175,37676.125907515,2,26641.044118042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009715.15876654,NA,NA,NA
"26",3859,"1-Deoxymannojirimycin","C6 H13 N O4",163.08448,164.09175,16848.5685976012,2,11913.7371086505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295569.632559542,NA,NA,NA,NA,NA,NA
"27",3859,"1-Deoxymannojirimycin","C6 H13 N O4",163.08448,164.09175,227894.574507447,2,161145.799029839,NA,NA,NA,NA,1059180.73181984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",3859,"1-Deoxymannojirimycin","C6 H13 N O4",163.08448,164.09175,41428.1949667658,2,29294.1575933185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308686.568986128,NA,NA
